cDC1,cDC2,pDC,Eos,Mon,Neu,B
6,10,10,25,31,8,632
23,21,17,37,103,105,56
29,6,5,48,275,361,4
0,0,2,2,4,1,0
16,9,2,23,64,50,513
0,0,0,0,0,0,15368
20,36,15,13,28,70,475
3,11,11,21,11,38,4766
2,5,6,9,55,63,235
3,1,1,2,21,5,881
0,0,0,0,0,0,596
26,25,14,3,2,8,35
20,7,3,15,10,21,3
9,13,14,5,9,7,1
53,61,28,97,226,456,9
2,0,0,10,30,15,585
32,59,30,36,76,37,6603
0,0,0,0,0,0,2749
10,28,16,16,151,70,16024
17,7,13,31,29,38,1563
157,231,120,215,611,371,11047
12,5,9,18,29,59,0
240,239,109,264,375,766,543
0,0,0,0,0,1,3169
0,0,0,0,0,0,5125
0,0,0,0,0,0,367
8,12,7,5,1,9,26
25,4,8,53,192,119,826
0,0,0,0,0,0,8971
38,9,9,7,15,19,0
17,21,2,1,11,10,34
39,43,13,27,54,112,55
0,21,3,0,7,7,11857
47,78,63,82,154,133,494
0,0,0,0,0,0,1306
0,0,0,0,0,0,9602
15,30,8,25,60,111,4160
27,9,10,13,52,91,605
22,5,15,56,130,68,9297
62,33,8,6,3,1,0
34,40,23,25,41,138,41
7,2,3,2,23,5,0
32,45,20,33,74,152,8
9,0,1,6,12,5,6231
10,4,6,50,200,125,20
92,57,33,86,301,157,250
5,8,7,10,29,52,7
12,9,5,14,5,2,0
46,61,53,59,77,94,451
44,85,58,85,230,144,3031
18,35,9,27,98,34,8446
7,13,13,8,1,9,0
135,150,120,197,501,384,17767
54,25,22,68,177,133,619
0,0,1,2,5,1,0
0,0,0,0,17,2,317
1,0,1,0,2,0,1178
40,56,36,67,183,113,2800
0,0,0,0,0,0,1499
34,30,20,59,55,151,11
29,27,14,54,341,324,0
10,26,9,20,14,11,384
22,11,10,44,48,41,0
0,2,0,3,23,12,1981
62,81,36,110,268,188,31914
28,2,17,5,0,9,0
18,13,14,15,63,33,44
10,5,7,18,98,47,4231
6,5,2,4,17,63,4348
88,87,74,96,165,186,1592
2,2,5,35,73,79,28
15,40,11,18,75,191,4
35,61,30,60,93,95,1653
12,46,17,27,54,58,0
3,4,1,2,4,15,0
0,3,0,4,12,8,56
39,67,34,38,101,90,10933
5,6,6,20,25,21,0
27,16,17,29,44,44,36
1,0,0,0,0,0,0
20,17,8,25,53,40,21
0,0,1,3,1,0,230
2,1,5,7,61,35,7564
31,14,30,54,54,20,118
1,4,8,5,6,1,380
3,12,0,1,8,6,1860
109,151,115,157,342,261,1536
5,11,12,7,7,15,0
51,25,37,93,255,235,843
37,63,25,5,4,14,195
45,54,44,68,253,119,6500
0,0,0,0,0,0,6607
72,69,43,86,92,250,69
7,4,4,12,54,27,1089
0,0,0,0,2,1,312
33,9,16,21,4,13,274
12,19,7,13,18,11,3976
0,0,0,0,0,0,2917
8,1,4,2,0,0,0
3,2,2,0,0,0,7
32,18,5,1,0,2,0
0,21,4,7,5,7,973
3,0,1,0,0,0,0
34,47,14,37,98,61,21
9,27,5,21,127,60,20642
0,0,0,0,0,0,11237
68,41,29,7,5,0,0
1,10,1,5,27,8,6729
8,15,10,29,114,94,21058
0,0,0,0,0,0,3037
2,0,1,3,22,9,6610
0,0,0,0,0,0,122
64,55,34,67,194,284,761
168,166,103,211,797,518,11929
2,1,0,15,112,271,0
63,110,54,83,177,174,1241
0,0,0,0,17,3,29982
0,0,0,0,0,0,1064
27,46,15,29,48,63,27
0,0,0,0,0,0,10902
16,37,15,12,19,16,1499
27,22,7,31,15,62,119
0,0,0,0,0,0,4073
0,0,0,0,0,0,32727
0,0,0,0,0,0,1759
48,127,27,15,15,104,0
55,39,35,71,179,170,177
26,27,5,11,9,35,0
38,17,16,15,101,90,1337
0,0,0,0,0,0,10081
1,1,6,4,1,4,0
0,0,0,0,0,0,9249
38,25,13,57,135,212,56
0,0,0,0,0,0,4460
70,55,47,57,135,260,200
11,35,4,4,1,30,0
72,51,55,128,502,693,103
10,10,12,17,36,30,2840
0,0,0,0,0,0,1615
1,0,1,5,36,27,0
156,240,122,144,471,296,4616
63,33,48,46,127,83,7060
16,44,16,23,75,38,17149
5,7,4,3,0,0,0
30,4,5,3,9,42,1227
18,14,7,28,111,97,21297
69,76,45,109,356,313,419
24,18,11,19,79,61,32
128,107,46,165,461,618,390
0,0,0,0,0,0,6426
30,38,9,5,0,0,0
0,6,0,0,0,0,0
42,52,38,26,120,88,4709
24,46,10,1,1,9,0
18,11,5,9,44,86,0
0,0,0,0,0,0,5981
0,0,0,0,0,0,454
0,0,0,0,0,0,291
0,0,0,0,0,0,4801
24,29,2,8,17,25,1
3,5,6,0,0,1,0
26,47,2,0,0,0,0
3,6,3,1,7,1,13945
12,10,3,4,4,8,8
12,8,15,28,14,41,0
29,21,13,70,79,75,29
0,0,0,0,0,0,7620
27,39,9,1,8,1,0
0,2,0,0,0,0,0
9,50,20,5,36,47,3764
1,1,0,0,2,0,5081
0,0,0,0,0,0,4587
0,0,0,5,18,3,0
73,87,111,92,142,76,2647
4,6,10,21,44,50,0
0,0,0,0,0,0,17146
3,9,4,3,0,4,0
22,24,3,5,3,12,8
8,5,12,8,7,17,646
2,0,0,7,9,9,4761
66,83,55,121,532,269,6642
