"","cDC1","cDC2","pDC","Eos","Mon","Neu","B","T","MouseID","Group","Mouse","HSPC","Day","barcode","n.cDC1","n.cDC2","n.pDC","n.Eos","n.Mon","n.Neu","n.B","n.T","biomass","filter","p.cDC1","p.cDC2","p.pDC","p.Eos","p.Mon","p.Neu","p.B","p.T","bin","bin_bias","umap1","umap2","fate","umap1d","shannon","simpson","group","norm.biomass"
"282",0,0,0,0,0,56.4411439813583,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",608,0,0,0,0,0,0.255299792030511,0,0,0.255299792030511,TRUE,0,0,0,0,0,1,0,0,"0-0-0-0-0-0-0-1",1,18.8083591329333,3.87266829337919,"Neu",38.529486992534,0,0,"True",0.255299792030511
"283",980.679486890457,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",638,0.750361809860902,0,0,0,0,0,0,0,0.750361809860902,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.9208897861579,9.68039369197228,"cDC1",65.4126066794764,0,0,"True",0.750361809860902
"284",0,0,0,15545.4345470396,0,443.466131282101,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",647,0,0,0,12.0075824099074,0,2.00592693738258,0,0,26.0210917571973,TRUE,0,0,0,0.856857630185939,0,0.143142369814061,0,0,"0-0-0-0-0-1-0-1",2,-14.4447876185255,-3.15730506532609,"Eos.Neu",-8.72339741112861,0.126781529559822,0.0539331901934386,"True",13.0105458785987
"285",0,0,0,7202.39210669969,40208.7986103726,129137.337429348,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",654,0,0,0,5.56326145196966,85.3313146611897,584.125924165809,0,0,680.583761730938,TRUE,0,0,0,0.00824161851331998,0.12641292320148,0.8653454582852,0,0,"0-0-0-0-0-1-1-1",3,7.71242475420455,3.3891069084462,"Eos.MoNeu",-6.08945960497024,0.696209851462501,0.411439296719656,"True",226.861253910313
"286",5861.53256532227,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",666,4.484921162387,0,0,0,0,0,0,0,4.484921162387,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.1402023165038,10.4421121698325,"cDC1",65.8055795769866,0,0,"True",4.484921162387
"287",2840.58885857925,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",676,2.17346179407985,0,0,0,0,0,0,0,2.17346179407985,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-16.8182552291929,11.4826473270919,"cDC1",64.8267703420591,0,0,"True",2.17346179407985
"288",0,0,0,2110.20311723441,0,193.512493650371,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",677,0,0,0,1.62996008604088,0,0.875313572676035,0,0,4.1352337447578,TRUE,0,0,0,0.650611593016817,0,0.349388406983183,0,0,"0-0-0-0-0-1-0-1",2,-19.0955529116466,-1.68136933636461,"Eos.Neu",-8.93809452496841,0.288432074361006,0.153888276165624,"True",2.0676168723789
"289",2130.44164393444,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",680,1.63009634555989,0,0,0,0,0,0,0,1.63009634555989,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.9437733874385,11.081624502375,"cDC1",64.9463070405618,0,0,"True",1.63009634555989
"290",1904.99808372974,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",687,1.45759937777578,0,0,0,0,0,0,0,1.45759937777578,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.3591759632396,9.41283858371513,"cDC1",65.5695396918857,0,0,"True",1.45759937777578
"291",2468.60698424149,0,890.0659951372,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",718,1.88884179723606,0,0.182964144841959,0,0,0,0,0,2.07180594207802,TRUE,0.911688570282579,0,0.0883114297174215,0,0,0,0,0,"1-0-1-0-0-0-0-0",2,-18.790743711976,-7.47772985075694,"cDC1.pDC",2.8143039694286,0.578227420696818,0.389554941261092,"True",1.03590297103901
