cDC1,cDC2,pDC,Eos,Mon,Neu,B
160,31,26,44,151,508,0
0,10,0,0,0,1,3
4,0,9,0,7,1,580
0,0,1,0,0,0,172
0,0,0,0,0,0,1166
2,0,0,0,0,2,0
0,10,12,0,0,0,85
0,0,0,0,0,0,6746
0,0,0,0,0,0,3537
0,0,0,0,0,0,1231
18,32,8,119,53,63,5
68,33,11,26,25,112,175
0,61,3,0,0,0,0
18,59,3,14,29,39,0
0,2,0,0,0,0,0
0,0,0,0,0,0,1857
10,10,5,46,41,18,31
0,0,0,0,0,0,1301
0,0,3,0,0,0,0
0,0,0,0,0,0,350
0,0,0,0,0,0,8168
0,6,0,0,0,0,0
30,27,3,78,56,82,9
0,5,2,0,3,1,7189
17,27,34,91,68,90,327
16,28,9,14,35,30,35
18,54,10,40,17,39,0
12,0,0,2,1,5,0
20,32,35,28,38,28,1487
0,0,0,0,0,0,3008
10,10,9,28,95,65,6452
0,10,8,0,0,1,2281
0,0,0,0,0,0,750
23,6,4,16,35,29,229
0,1,0,0,4,0,433
11,49,17,21,48,68,256
0,0,0,1,1,0,408
6,9,0,2,4,8,6258
1,0,0,0,0,0,208
12,32,9,20,19,43,0
26,52,16,29,53,64,505
0,0,0,0,0,0,1854
0,3,0,0,0,0,0
0,0,0,0,0,0,1514
0,0,0,0,0,0,439
6,3,1,81,55,62,0
0,3,11,0,1,1,6962
2,8,0,5,12,3,0
0,46,11,0,5,6,0
0,5,2,0,2,1,2214
0,0,0,0,0,0,994
7,6,5,15,46,21,0
0,0,3,0,0,1,0
14,17,6,5,19,22,0
0,0,0,0,0,0,110
1,23,13,0,7,1,0
7,0,0,0,0,0,26
0,0,0,0,0,0,6654
7,4,8,3,14,14,728
0,0,0,0,0,0,3306
0,0,0,0,0,0,150
0,0,0,3,5,4,0
1,0,0,0,0,0,0
13,8,9,1,17,27,0
3,3,12,1,7,4,667
6,13,2,26,20,28,138
0,13,6,11,22,3,2244
2,8,2,3,5,22,1
1,0,5,0,0,2,1502
6,0,3,26,19,22,0
4,8,8,8,9,18,5564
0,19,0,0,2,2,0
0,0,0,1,6,0,940
13,20,1,29,60,69,0
3,16,1,30,25,41,6
0,0,0,0,0,0,2389
0,0,0,0,0,0,405
10,14,5,0,8,3,47
0,0,0,0,0,0,523
0,0,0,0,0,0,963
0,0,0,0,0,0,2593
7,3,7,10,8,3,703
48,3,1,26,23,26,0
0,0,0,0,0,0,893
0,0,0,0,0,0,304
0,0,0,0,0,0,1729
4,17,7,21,48,10,0
2,24,12,8,9,22,0
1,9,1,3,9,11,301
1,2,4,0,3,3,3655
0,0,0,0,0,0,173
0,0,1,0,0,0,0
6,8,9,0,0,2,4064
24,21,26,28,28,35,308
0,0,1,0,0,0,5254
8,18,10,53,57,53,223
5,8,2,2,1,10,6
0,0,0,0,0,0,864
5,3,9,7,18,33,12978
12,4,0,11,68,40,3
0,2,1,3,2,0,0
0,0,0,0,0,0,585
4,0,0,33,2,1,0
1,0,0,47,22,13,6
0,0,0,0,0,0,5107
0,0,0,0,0,0,2838
0,2,1,1,1,5,274
0,9,0,17,33,7,0
26,31,6,27,40,166,0
1,2,1,5,0,0,1705
0,0,0,0,0,0,40
0,0,0,0,0,0,249
7,4,5,7,37,29,0
0,0,0,0,0,0,8707
49,8,10,10,59,87,0
29,1,5,4,29,86,0
1,0,0,15,10,5,0
6,34,8,3,28,31,2
2,0,0,0,3,0,0
0,0,0,0,3,3,0
2,25,0,9,46,13,7
10,41,4,64,51,55,3
0,0,0,0,0,0,4466
0,5,3,1,3,2,0
0,0,0,0,0,0,221
0,0,0,0,0,0,775
0,0,1,13,6,6,0
0,0,0,0,0,0,555
0,0,0,0,0,0,2844
5,11,6,14,22,29,9
0,0,0,0,0,0,43
0,0,0,0,0,0,669
0,0,0,6,0,0,0
0,0,0,0,0,0,1779
2,5,20,7,8,18,23
38,30,32,35,62,88,789
12,1,0,0,0,7,0
14,0,1,0,0,8,0
0,5,0,6,3,8,0
0,0,0,0,0,0,1417
22,60,12,107,108,105,61
0,0,0,0,0,0,141
0,0,0,0,0,0,489
0,36,0,0,0,0,0
0,0,0,0,0,0,1109
0,0,0,0,0,0,4781
0,6,0,0,0,5,0
0,2,2,0,0,1,1
1,10,5,0,1,11,1674
1,1,0,27,47,9,7831
10,13,3,0,8,4,111
0,0,0,0,0,0,582
0,2,4,0,0,0,53
4,1,9,1,4,9,0
0,1,1,5,1,0,37
0,0,0,0,0,0,598
36,27,29,6,19,15,5291
44,35,2,25,59,92,454
0,0,0,0,0,0,1253
0,0,0,0,0,0,1781
9,7,16,13,26,37,0
11,5,4,3,21,50,0
0,0,0,0,0,0,1967
9,12,4,58,20,78,0
6,6,17,5,20,27,600
9,0,0,4,1,7,80
0,0,0,0,0,0,1196
0,0,0,0,0,0,50
0,1,0,0,0,0,0
1,2,0,10,25,3,9
22,6,2,0,2,31,0
12,0,0,0,0,0,0
1,3,1,1,0,8,0
20,22,8,2,2,5,8
5,1,1,9,19,40,0
0,0,0,0,0,0,1162
9,15,8,16,8,20,0
0,0,9,0,0,0,0
0,0,0,0,0,0,1198
0,0,0,0,0,0,1660
36,49,4,8,40,70,0
0,0,0,0,0,0,415
13,0,4,1,1,5,0
135,73,53,49,144,458,471
0,0,0,7,2,0,0
16,0,1,0,0,2,0
0,0,3,81,34,21,0
2,2,12,8,6,9,1512
4,0,18,0,0,2,0
0,0,0,0,0,0,461
0,0,5,0,0,0,0
3,43,11,0,13,28,280
0,0,0,3,0,0,0
1,20,8,0,3,5,14
0,4,3,13,9,7,38
0,8,14,11,7,6,9
0,0,0,0,0,0,1111
12,40,23,9,17,23,3485
0,0,0,0,0,0,2250
1,9,0,3,4,2,2
0,0,0,0,0,0,1612
7,11,1,23,73,20,0
1,0,0,3,0,6,0
0,1,0,0,0,0,0
23,15,6,9,14,24,145
8,0,0,2,23,7,4817
19,45,14,24,69,110,24
0,202,8,4,16,10,0
13,14,7,38,69,116,7
20,33,55,37,55,78,6367
2,10,6,19,8,3,0
0,0,0,0,0,0,1515
0,0,0,0,0,0,1870
4,0,0,3,1,3,32
21,38,22,42,46,49,4503
1,0,3,8,1,7,0
6,0,0,0,0,0,0
1,3,2,5,7,20,7
5,0,0,0,0,2,0
2,0,1,0,0,0,121
0,0,0,0,0,0,97
18,8,8,16,15,8,997
0,0,0,0,0,0,4578
4,0,1,0,1,6,0
5,0,0,0,0,0,0
9,57,9,45,53,38,30
0,0,0,0,0,0,116
0,0,0,0,0,0,5642
4,2,2,16,61,41,0
2,19,1,6,12,26,0
0,0,0,0,0,0,2596
14,0,2,0,0,0,412
0,0,0,18,9,1,0
1,8,10,0,0,9,0
26,10,18,42,69,100,0
14,7,3,11,41,94,0
0,0,0,0,0,0,777
