cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,2,1,0,2171
0,0,0,0,0,0,37
1,0,0,2,9,37,15
13,6,2,27,65,149,0
6,2,1,9,12,69,0
4,12,6,11,36,39,494
0,0,0,0,0,0,148
0,1,1,0,0,0,0
0,0,0,0,0,0,800
0,0,0,0,0,0,3137
1,0,0,0,0,0,3415
0,0,0,0,0,0,119
0,0,1,0,3,0,0
1,0,0,0,1,0,1930
0,0,0,6,0,2,229
13,8,9,30,104,75,69
8,10,5,11,24,34,0
3,1,1,3,20,6,2586
2,0,0,4,8,13,33
9,23,8,8,3,7,24
0,0,1,0,0,0,0
2,0,0,3,12,16,3765
31,16,7,24,40,121,4
0,2,1,0,0,0,0
0,0,1,3,21,9,128
1,8,6,11,42,30,7428
3,7,5,3,1,2,0
38,33,15,55,93,376,2
0,0,0,0,0,0,624
2,2,0,4,29,9,0
14,46,8,1,5,19,240
12,13,4,2,9,30,0
5,1,0,0,0,0,0
15,15,3,21,48,79,12
0,0,0,0,1,0,1090
0,0,0,0,0,0,3842
4,2,2,6,3,11,0
0,0,0,0,1,0,2288
27,19,6,8,4,32,0
1,9,9,3,2,4,1115
18,7,3,0,6,7,0
0,0,0,0,0,0,3109
37,46,8,3,1,31,0
30,5,10,55,41,118,376
4,15,3,0,3,4,683
0,0,0,3,9,0,1164
0,0,0,0,0,0,377
7,13,3,0,0,7,0
5,6,5,31,83,75,0
10,18,11,16,45,35,936
3,1,0,1,0,0,0
48,108,41,39,68,82,4175
3,23,10,9,27,8,633
10,0,0,3,9,21,2
39,89,21,11,20,61,224
28,68,8,3,12,52,69
2,9,0,1,7,1,133
0,0,0,0,0,0,7834
10,13,0,0,0,13,0
0,0,0,0,0,0,3952
0,0,0,0,0,0,903
1,6,2,1,0,0,0
0,0,0,0,0,0,1343
0,0,0,0,5,6,0
1,11,0,0,4,3,632
12,8,22,19,3,2,0
9,10,1,13,14,70,253
0,0,0,0,0,0,1628
0,1,0,5,8,0,1956
0,1,0,1,21,0,355
0,0,0,0,0,0,12
7,7,1,6,9,45,4
10,25,9,10,13,52,4
8,15,5,0,0,1,0
0,0,0,0,0,0,2841
0,0,0,0,0,0,806
0,0,0,0,0,0,945
8,0,3,11,15,9,0
7,56,2,1,0,0,0
0,0,0,0,0,0,1036
2,0,0,1,0,9,0
1,1,0,6,4,52,0
0,0,0,0,0,0,3620
21,20,3,13,15,32,0
1,1,0,0,0,0,0
14,43,14,19,42,32,1831
0,0,0,0,0,0,935
0,0,0,0,2,0,1758
0,0,0,0,0,0,3099
19,5,2,28,10,83,0
0,0,0,0,0,0,154
0,0,0,0,0,0,37
0,0,0,0,0,0,1523
26,20,17,14,30,72,13
15,17,13,12,1,7,4
0,0,0,0,0,0,4581
0,0,0,0,0,0,2381
0,0,0,5,24,20,17465
0,0,3,14,1,1,6
18,4,6,25,94,400,0
17,10,11,8,10,32,62
12,11,2,16,47,39,9212
30,52,5,6,29,47,4157
4,11,0,0,0,0,0
7,2,9,18,117,463,0
0,0,0,0,0,0,1820
0,0,0,0,0,0,1387
4,1,4,0,0,2,0
2,0,0,0,0,0,0
13,8,13,12,18,12,352
5,29,4,0,0,0,0
0,0,0,0,0,0,763
8,2,1,0,0,0,0
0,0,0,0,0,0,5145
6,2,0,0,0,1,0
0,0,0,6,0,0,0
1,5,2,1,7,18,1915
3,0,1,9,7,14,0
0,0,0,0,0,0,3341
0,0,0,0,0,0,55
4,1,0,0,0,0,0
2,1,7,1,10,3,0
3,28,4,2,0,9,314
14,21,9,6,24,28,1722
3,2,1,12,80,68,1551
0,0,0,3,3,2,960
1,3,3,5,29,23,1093
2,4,0,1,0,0,0
6,10,2,3,12,19,20
8,19,1,18,14,82,0
0,0,0,0,0,0,3081
3,12,0,0,0,0,0
2,0,0,0,0,0,0
17,3,10,7,17,45,73
0,0,0,0,0,0,288
0,0,0,0,0,0,2660
19,46,8,1,0,0,0
0,4,2,0,0,0,88
3,3,2,4,3,1,10
0,0,0,0,0,0,1052
8,4,0,0,1,0,0
7,4,0,5,1,0,0
7,10,4,4,2,3,0
36,23,12,32,29,125,2
0,0,0,3,23,0,0
0,0,0,0,3,6,4435
1,1,3,9,29,17,569
0,0,0,0,0,0,1996
24,4,1,0,0,0,0
41,23,7,33,73,139,584
8,13,10,45,42,157,0
8,0,0,3,2,0,0
2,13,1,1,5,14,0
3,3,3,24,32,70,70
27,13,7,5,0,5,0
0,0,0,0,0,0,7143
13,57,5,8,26,7,4365
2,0,0,5,10,2,1226
0,0,0,0,0,0,4163
2,6,1,6,21,47,0
0,0,0,0,0,0,1799
0,0,0,0,0,0,3260
21,27,7,28,21,90,0
8,10,4,14,11,52,0
0,0,0,0,0,0,3232
0,0,0,0,0,0,2467
36,77,13,17,28,143,0
2,1,2,3,8,7,0
3,7,1,4,0,0,0
0,0,0,0,0,0,443
0,0,0,0,0,0,528
0,0,0,2,6,5,1282
2,6,0,0,0,0,0
0,0,0,0,0,0,3172
0,0,0,0,0,0,1593
1,0,3,11,3,18,0
26,28,10,13,11,5,0
14,7,10,14,5,12,0
0,1,0,0,0,0,0
7,0,4,12,21,33,0
0,0,0,0,0,0,1633
0,0,0,0,0,0,7892
10,2,2,0,0,6,0
1,7,1,0,0,13,0
3,3,4,3,0,0,0
8,30,4,9,27,28,61
0,0,0,0,0,0,1725
29,17,4,17,45,155,8
6,11,3,15,11,28,0
6,1,4,5,17,8,681
10,3,10,8,7,4,0
9,14,3,11,14,17,0
6,6,3,9,33,26,57
5,0,0,4,0,0,0
5,7,2,0,0,0,1
8,3,0,3,3,0,0
0,0,0,0,0,0,3768
17,6,3,0,0,0,0
2,0,1,25,6,2,0
0,0,0,0,0,0,1666
0,0,1,2,25,37,7
49,64,30,49,66,141,2026
1,3,2,0,0,0,0
0,0,0,0,0,0,54
0,0,0,0,0,0,6172
0,0,1,1,2,1,1539
1,5,1,0,0,2,0
0,1,4,20,30,13,12
11,9,5,5,3,25,43
0,0,0,0,0,0,100
10,19,9,19,25,72,2
2,5,1,1,19,6,1430
8,7,8,22,24,34,531
0,0,0,0,3,1,1003
0,0,0,0,0,0,1180
22,11,14,25,9,0,0
0,0,0,0,0,0,1381
0,0,0,0,0,0,330
1,0,0,1,4,0,27
0,0,0,0,0,0,2037
0,0,0,0,0,0,5414
6,10,5,20,32,71,7
0,0,0,0,0,0,1927
3,1,0,0,0,0,0
3,10,6,3,1,0,1054
0,0,0,0,0,0,2854
0,0,0,0,0,0,2362
4,0,2,6,5,48,0
7,3,5,17,74,55,17284
0,0,0,0,0,0,4682
0,0,0,0,11,2,580
17,20,2,5,9,128,0
7,10,4,28,22,12,2
0,0,0,0,0,0,184
20,18,9,5,1,7,0
4,1,6,19,65,77,0
0,0,0,0,5,0,6292
2,0,0,2,42,3,0
0,0,0,0,0,0,6664
11,12,7,35,79,83,4
3,0,1,13,0,7,1
2,13,0,4,0,0,0
0,0,0,1,16,3,3111
30,58,21,44,77,179,111
0,0,0,0,0,0,1347
30,48,17,70,109,208,21
14,29,4,0,0,1,0
26,1,1,0,0,0,0
28,41,6,25,35,116,0
10,24,3,3,9,23,0
31,38,33,23,53,41,963
6,0,4,12,10,6,1
2,5,0,2,4,14,0
0,0,0,0,0,0,82
3,2,0,0,0,0,0
3,4,1,2,3,0,12
0,0,0,0,0,0,3194
1,2,0,0,5,30,1344
0,0,0,0,0,0,719
0,0,2,0,0,0,0
0,0,0,1,3,2,1255
0,0,0,0,0,0,660
20,8,8,23,22,5,2
14,13,7,6,19,18,6325
10,37,2,0,0,1,0
0,0,0,0,0,0,850
7,7,2,3,18,15,22
35,78,4,8,1,0,0
20,39,20,26,11,49,111
3,0,1,8,28,15,2
7,18,1,0,1,0,0
0,0,0,0,0,0,1823
0,0,0,0,2,0,4462
0,0,0,1,8,9,2669
0,0,0,0,0,0,1404
0,0,0,0,0,0,3815
0,0,1,0,0,0,0
3,7,6,5,9,15,805
7,3,2,4,3,18,1
0,0,1,2,6,13,0
0,0,0,0,0,0,2292
27,40,12,30,83,109,1171
2,0,1,0,0,0,0
1,0,2,9,9,12,2032
4,2,0,0,0,0,93
2,3,6,11,2,2,13
20,14,2,16,33,34,5257
0,0,2,1,4,0,0
0,0,0,0,2,1,0
0,0,0,0,0,0,1410
2,3,0,2,2,6,0
0,0,0,0,0,0,1244
0,0,0,0,0,0,4197
0,0,0,0,0,0,448
4,0,0,5,13,16,0
15,27,6,10,1,13,0
17,4,4,11,21,97,11
9,14,3,8,26,137,0
0,0,0,0,0,0,3908
0,0,3,2,8,0,989
6,9,13,12,36,12,2300
1,2,0,0,8,2,3
8,4,0,5,7,53,0
9,3,2,7,19,60,0
13,36,4,0,0,4,0
25,43,16,63,77,36,257
1,0,2,6,1,0,0
0,0,0,1,1,0,2829
4,10,8,0,0,3,2
3,4,3,0,2,4,0
9,12,0,6,17,23,1238
1,3,2,10,10,5,2458
0,0,0,0,0,0,930
2,4,0,0,0,0,2
41,25,11,18,57,161,39
3,2,2,4,8,12,0
7,6,3,7,11,11,0
0,0,0,0,0,0,365
3,13,1,2,3,9,0
2,8,2,5,10,2,1
1,9,5,0,0,0,0
0,0,0,0,0,0,671
17,7,3,0,0,0,0
0,1,0,5,10,1,160
1,3,4,7,17,12,0
6,22,4,0,2,3,4
9,2,3,7,14,2,0
8,47,4,26,55,92,41
0,0,5,3,0,0,0
23,16,24,54,22,37,138
14,19,10,10,13,81,3668
0,0,0,0,0,0,7198
0,0,0,1,10,1,1696
0,0,0,0,0,0,318
0,2,0,3,2,4,2215
1,0,0,7,7,1,0
0,0,0,0,0,0,3164
0,0,0,0,0,0,884
5,0,2,4,14,20,4
0,0,0,0,1,0,6104
2,0,0,6,41,64,1
0,0,0,0,0,1,4723
9,15,5,0,2,6,6
0,0,1,6,3,25,0
10,1,1,14,1,3,0
7,0,3,11,16,3,0
0,4,0,2,22,12,5174
81,75,34,81,123,446,18
13,1,6,2,35,65,387
0,0,0,0,0,0,1097
0,1,0,0,0,0,0
3,2,1,12,12,49,0
38,36,16,30,72,82,4190
0,0,0,0,0,0,4310
1,0,0,0,2,12,0
14,11,3,3,5,17,0
15,24,16,7,0,0,0
5,2,8,50,20,25,0
15,18,13,58,159,603,0
0,0,0,0,0,0,296
8,11,3,1,2,1,0
0,0,0,0,0,0,1240
0,0,0,0,0,0,370
0,0,0,0,0,0,8
0,0,0,0,0,0,1894
0,0,0,0,0,0,3052
5,9,2,3,14,27,34
0,4,0,0,3,0,808
0,0,0,0,0,0,1763
4,0,2,6,3,40,0
14,13,10,9,25,16,1041
40,20,13,7,10,1,0
0,0,0,0,0,0,2603
1,0,2,0,21,23,1563
0,0,0,0,0,0,1516
0,0,0,0,0,0,5442
3,1,6,2,2,0,0
0,18,5,0,0,0,0
3,1,0,11,5,28,88
1,0,4,2,3,0,6
0,10,0,0,0,0,0
0,0,0,0,3,12,0
0,0,0,0,0,0,704
0,0,0,0,0,0,18
2,2,2,0,16,11,0
0,0,0,0,0,0,2497
22,17,24,28,34,103,0
0,0,0,0,0,0,6623
0,0,0,0,0,0,2419
20,18,5,8,12,95,0
24,26,14,12,1,41,118
5,3,2,8,15,2,0
0,0,1,1,11,4,0
0,0,0,0,0,0,3230
2,0,3,1,0,0,0
0,0,0,0,0,0,1651
8,1,0,0,8,18,1734
0,0,0,0,0,0,1278
1,2,1,5,33,20,1632
0,0,5,18,3,0,0
4,0,3,2,8,5,3156
14,14,5,5,9,63,1
0,0,0,0,0,0,987
0,0,0,0,0,0,935
29,26,8,20,61,127,11
0,0,0,1,19,7,711
0,6,0,0,0,0,135
3,1,1,0,5,0,4488
11,17,6,38,38,38,389
1,2,9,1,2,0,0
0,0,0,0,0,0,2010
0,0,0,2,3,0,145
0,0,0,0,0,0,5401
3,8,4,0,0,1,1788
0,1,1,0,0,0,0
8,19,5,2,6,1,1545
22,2,4,2,1,6,0
34,52,16,11,12,143,0
0,0,0,0,12,1,1919
0,0,0,0,0,0,374
40,28,23,58,53,216,3
42,58,12,26,71,242,0
39,14,19,47,53,143,19
0,1,0,0,1,0,1356
0,0,0,0,0,0,121
12,3,0,16,47,315,0
10,9,6,4,5,14,0
4,16,1,1,20,4,3203
0,6,1,4,7,24,507
0,0,0,0,0,0,11371
2,0,0,13,10,3,0
0,0,0,0,0,0,2912
