cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,0,0,0,794
4,5,3,7,34,32,791
5,0,3,3,14,12,543
9,4,2,0,0,0,0
0,0,0,0,0,0,66
0,0,0,0,0,0,321
1,0,0,0,0,0,0
26,11,3,28,46,97,3
3,0,3,4,13,25,0
0,0,2,0,0,0,0
1,3,1,0,0,0,0
11,2,1,1,1,2,0
0,0,0,0,0,0,64
0,0,0,0,0,0,741
2,3,0,0,0,0,0
0,0,0,0,0,0,134
5,1,0,1,12,2,24
0,0,0,0,0,0,1593
0,0,0,1,10,6,7
6,7,2,1,1,1,33
2,0,0,2,0,0,0
10,1,0,2,13,14,1
10,1,0,0,1,2,0
7,19,2,0,0,0,0
2,1,0,0,0,0,0
0,0,0,0,4,0,252
0,0,0,0,0,0,941
0,0,0,0,0,0,859
2,0,0,1,19,17,25
2,5,2,6,15,19,7
1,0,0,4,1,0,0
4,6,6,2,20,8,880
0,0,0,0,0,0,562
1,0,0,0,11,0,0
9,5,0,5,0,4,0
0,0,0,0,0,0,549
0,0,0,0,0,0,32
0,0,0,0,0,0,528
1,7,0,1,0,0,273
0,5,0,0,0,0,328
2,4,4,0,0,0,0
0,0,0,0,0,0,420
0,0,0,0,0,0,157
0,0,0,0,0,0,305
4,0,0,0,0,0,0
1,0,0,0,0,0,146
0,0,0,0,0,0,715
0,0,0,0,0,0,1166
4,10,1,0,13,0,304
0,0,1,0,3,0,27
16,20,6,4,12,5,0
4,1,7,7,64,78,84
0,0,0,0,0,0,6116
0,0,0,0,0,0,924
11,2,7,4,2,8,77
8,2,0,10,44,48,0
4,0,0,0,0,1,0
4,6,0,6,24,130,0
4,0,0,2,21,10,0
3,0,0,2,2,36,0
16,3,2,1,0,0,0
0,1,5,2,0,0,311
15,15,2,0,1,7,0
2,0,0,7,65,13,0
0,0,0,0,0,0,204
0,0,0,0,0,0,32
5,1,3,9,42,133,0
0,0,0,0,0,0,64
2,1,3,6,16,59,1
0,0,0,0,0,0,111
8,6,3,2,10,40,11
17,6,2,4,1,6,0
0,0,0,0,0,0,700
0,0,0,0,0,0,1084
0,0,0,0,0,10,0
0,0,0,0,0,0,141
0,0,0,0,0,0,732
9,9,1,0,0,0,0
0,0,0,0,0,0,566
7,1,0,8,18,96,0
0,0,2,0,0,0,0
0,0,0,0,0,0,740
0,0,0,0,0,0,5
0,12,10,1,0,3,239
0,0,0,0,0,0,340
0,0,3,0,0,0,0
13,9,3,0,0,0,0
0,0,0,0,0,0,1475
10,4,9,8,18,84,1
0,0,2,2,15,2,635
2,0,0,0,0,0,0
0,0,0,0,0,0,728
11,0,1,8,11,40,0
0,0,0,3,11,1,0
12,32,9,0,0,0,0
0,0,0,0,0,0,95
0,0,0,1,4,0,1659
0,3,0,3,0,2,0
0,0,0,2,25,9,0
0,0,0,0,0,0,252
1,3,0,0,27,66,0
0,0,0,0,0,0,27
0,0,0,2,25,4,295
0,0,0,0,0,0,39
0,3,0,0,0,1,9
0,0,0,0,0,0,2941
0,0,0,1,43,5,1
0,0,0,0,0,0,1459
0,0,0,0,0,0,208
6,0,0,1,0,0,0
0,0,0,0,0,0,45
18,1,0,0,1,0,0
5,8,1,1,9,33,1
29,74,3,6,0,12,0
0,0,0,0,0,0,250
0,0,0,0,0,0,680
0,0,0,0,0,0,826
0,0,0,0,0,0,483
0,1,0,3,6,16,0
9,7,1,8,28,57,0
0,0,0,0,0,0,484
1,0,0,3,3,3,0
0,0,0,0,0,0,45
0,0,0,0,0,0,1141
10,8,5,10,59,41,5
1,4,0,9,31,82,0
0,1,1,12,24,25,0
0,0,2,0,0,0,0
0,3,1,3,34,106,0
0,0,0,1,5,0,87
1,0,0,4,13,2,1351
0,0,0,0,0,0,138
1,0,0,3,3,4,980
2,7,1,1,0,1,443
0,0,0,1,2,0,0
0,0,0,0,0,0,684
3,6,1,0,0,0,0
1,0,0,0,0,0,0
0,0,0,0,0,0,152
0,0,1,2,4,0,2015
23,13,14,16,16,42,4
0,2,1,0,0,0,873
1,0,0,0,4,1,209
0,0,0,0,5,0,601
0,0,0,0,0,0,711
0,0,0,0,0,0,1034
0,0,0,1,26,0,0
1,7,3,0,0,0,0
0,0,0,0,0,0,9
0,0,0,0,0,0,1003
7,2,5,3,0,0,0
0,0,0,0,0,0,935
9,10,5,7,81,76,0
5,0,0,0,0,0,0
0,0,0,0,0,0,555
5,10,3,1,13,9,64
0,0,0,0,0,0,1385
0,0,0,0,0,0,871
0,0,0,0,0,0,626
0,0,0,0,1,0,107
0,0,0,1,6,1,0
0,0,0,0,0,0,874
0,0,0,0,0,0,363
8,15,3,3,1,5,5
4,17,4,0,3,1,0
15,6,1,1,0,1,0
0,0,0,0,0,0,410
0,0,0,0,0,0,74
5,8,0,0,0,1,0
14,12,3,5,13,73,46
0,2,0,0,4,13,0
1,0,1,9,27,13,0
18,8,4,23,162,95,47
0,0,0,0,0,0,341
2,0,1,6,30,66,0
11,27,15,8,28,44,34
0,0,1,0,19,16,0
0,0,0,0,0,0,378
0,0,0,0,0,0,1396
0,0,0,1,14,6,0
0,0,0,0,0,0,628
0,0,0,0,0,0,873
0,2,1,1,1,3,0
0,0,0,0,0,0,374
3,2,0,3,19,17,0
0,0,0,3,1,2,829
0,0,0,0,0,0,1827
0,0,3,1,0,0,9
1,0,4,2,0,0,0
1,6,0,14,18,10,745
0,0,0,0,0,0,779
0,0,0,0,0,1,0
3,0,0,7,20,28,0
0,0,0,0,0,0,2236
7,0,0,0,0,0,0
10,21,4,0,0,0,0
0,0,0,0,0,0,1120
4,4,1,1,0,3,126
0,0,0,0,2,3,417
2,5,0,0,0,0,0
7,0,2,15,68,23,90
0,0,1,0,0,0,0
1,2,4,8,7,1,0
0,0,2,12,69,17,65
11,8,1,0,3,25,0
0,0,0,0,0,0,723
0,0,0,0,0,0,3618
16,1,3,8,12,26,1
8,0,1,4,4,3,0
0,0,3,0,0,0,601
1,0,0,8,39,83,0
4,0,0,0,0,0,0
0,0,0,0,0,0,389
0,7,0,1,11,22,0
0,0,0,0,0,0,2137
0,0,0,0,0,0,548
0,0,0,0,0,0,829
1,10,0,2,1,17,0
1,0,0,2,8,1,756
0,0,0,0,0,0,194
4,1,2,3,0,1,0
12,8,7,18,43,30,459
0,0,0,0,0,0,449
2,0,0,4,14,7,382
0,0,1,0,0,0,870
0,0,0,0,0,0,40
0,0,0,0,0,0,814
0,0,0,0,0,0,115
0,0,0,0,0,0,1635
0,0,0,0,20,6,36
0,0,0,0,9,0,0
0,0,0,0,0,0,74
0,0,0,0,0,0,1040
2,4,0,7,8,64,0
3,30,1,2,2,6,1
25,19,1,8,33,116,0
2,14,0,0,0,0,0
2,1,9,1,0,6,0
3,2,4,8,22,87,1
0,0,0,0,0,0,889
0,0,0,0,0,0,559
2,1,19,3,0,2,0
1,2,1,1,0,6,18
0,0,0,0,0,0,485
0,0,1,2,14,16,241
0,0,0,0,0,0,1358
0,0,0,0,7,0,1536
0,0,0,0,0,0,343
4,0,0,0,0,0,0
16,4,0,4,0,13,0
0,0,0,0,3,3,623
0,0,0,0,0,0,324
1,1,1,1,0,8,0
1,3,5,0,0,0,751
2,3,4,0,0,0,0
1,3,3,8,11,28,3
0,0,0,1,2,27,0
15,16,9,6,5,2,0
11,18,10,4,1,31,0
9,27,5,1,8,38,0
6,6,1,5,46,194,0
5,0,0,0,0,0,0
9,13,1,5,0,8,0
0,0,0,7,1,4,0
0,0,0,0,0,0,100
0,0,0,0,0,0,1919
0,0,0,0,5,23,0
0,0,0,0,0,0,372
0,0,0,0,0,0,2567
0,0,0,0,0,0,2
0,0,2,0,0,1,0
0,0,0,0,0,0,189
0,0,0,0,0,0,236
1,10,0,0,0,0,0
0,0,0,0,0,0,132
8,54,8,3,0,4,255
0,0,0,0,0,0,21
0,0,0,0,0,0,56
0,0,0,0,5,5,138
0,0,0,0,0,0,634
0,0,0,0,0,0,663
6,14,6,0,0,5,0
0,0,0,0,8,0,730
0,0,0,0,0,0,2264
11,9,9,2,9,25,2
3,2,0,3,16,54,0
0,0,0,0,0,0,447
0,0,0,0,0,0,191
